"","tweet","existence","existence.confidence","cleantweet"
"1","Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]","Yes",1,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]"
"2","Fighting poverty and global warming in Africa [link]","Yes",1,"Fighting poverty and global warming in Africa [link]"
"3","Carbon offsets: How a Vatican forest failed to reduce global warming [link]","Yes",0.8786,"Carbon offsets: How a Vatican forest failed to reduce global warming [link]"
"4","Carbon offsets: How a Vatican forest failed to reduce global warming [link]","Yes",1,"Carbon offsets: How a Vatican forest failed to reduce global warming [link]"
"5","URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]","Yes",0.8087,"URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]"
"6","RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]","Yes",1,"RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]"
"7","Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]","Yes",1,"Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]"
"8","Migratory Birds' New Climate Change Strategy: Stay Home [link]","Yes",1,"Migratory Birds' New Climate Change Strategy: Stay Home [link]"
"9","Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link]","Yes",1,"Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link]"
"10","Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]","Yes",1,"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]"
"11","How do we solve this global warming thing? [link]","Yes",0.9073,"How do we solve this global warming thing? [link]"
"12","Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link]","Yes",1,"Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link]"
"13","Ecotone: #Climate change from a #population perspective [link]","Yes",0.5488,"Ecotone: #Climate change from a #population perspective [link]"
"14","Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link]","Yes",0.8823,"Climate change blamed as coastal whale migration dwindles ï¿½ï¿½_ Ventura County.. [link]"
"15","Spring storm season starting a little late this year???  Must be global warming!","N/A",1,"Spring storm season starting a little late this year???  Must be global warming!"
"16","Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]","Yes",0.75,"Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]"
"17","For #EarthDay Global warming could affect patient symptoms [link]","Yes",1,"For #EarthDay Global warming could affect patient symptoms [link]"
"18","Wait here's an idea: it's natural climate change, not human induced global warming. [link]","No",0.6648,"Wait here's an idea: it's natural climate change, not human induced global warming. [link]"
"19","EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link]","Yes",1,"EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link]"
